■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2026-05-11,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2006   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
143,순애보,2000-12-09,"130,000",0.00%,26,1,5,한국,한국,
144,창공으로,2006-04-21,"166,500",0.00%,25,2,9,한국,한국,㈜트라이엄프픽쳐스
145,별별 이야기,2005-09-23,"53,000",0.00%,21,1,1,한국,한국,"영화사청어람(주),아트플러스시네마네트워크"
146,세계의 욕망 : 디지털 삼인삼색 2005,,"119,000",0.00%,20,1,5,한국,한국,
147,범죄의 재구성,2004-04-15,"99,200",0.00%,17,1,8,한국,한국,(주)쇼박스
148,너는 내 운명,2005-09-23,"70,000",0.00%,14,1,7,한국,한국,씨제이엔터테인먼트
149,동감,2000-05-27,"60,000",0.00%,12,1,6,한국,한국,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
150,조폭마누라2-돌아온 전설,2003-09-05,"36,000",0.00%,9,1,2,한국,한국,씨제이엔터테인먼트
151,신암행어사,2004-11-26,"13,000",0.00%,7,1,1,한국,"한국,일본",(주)시네마서비스
151,녹색의자,2005-06-09,"27,500",0.00%,7,1,1,한국,한국,(주)미로비젼
153,언니가 간다,2007-01-04,0,0.00%,0,11,11,한국,한국,(주)시네마서비스
153,미술관 옆 동물원,1998-12-19,0,0.00%,0,1,3,한국,한국,(주)씨제이이엔엠
153,집으로...,2002-04-04,0,0.00%,0,1,26,한국,한국,"(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,씨제이엔터테인먼트"
153,내 생애 가장 아름다운 일주일,2005-10-07,0,0.00%,0,1,2,한국,한국,씨제이엔터테인먼트
153,강력 3반,2005-09-29,0,0.00%,0,1,1,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
153,새드무비,2005-10-20,0,0.00%,0,1,2,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마"
153,야수와 미녀,2005-10-27,0,0.00%,0,1,7,한국,한국,(주)쇼박스
153,미스터 소크라테스,2005-11-10,0,0.00%,0,1,4,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
153,"소년, 천국에 가다",2005-11-11,0,0.00%,0,1,5,한국,한국,"(주)쇼박스,영화사청어람(주)"
153,무영검,2005-11-18,0,0.00%,0,1,2,한국,한국,씨제이엔터테인먼트
153,나의 결혼원정기,2005-11-23,0,0.00%,0,1,7,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
153,애인,2005-12-08,0,0.00%,0,1,1,한국,한국,(주)쇼박스
153,6월의 일기,2005-12-01,0,0.00%,0,1,4,한국,한국,(주)쇼박스
합계,,,"567,789,548,700",,"91,694,260","19,714","1,776,299",,,
